date,value
22-06-2017,6.92
23-06-2017,6.69
24-06-2017,6.53
25-06-2017,6.2
26-06-2017,6.53
27-06-2017,6.65
28-06-2017,6.11
29-06-2017,6.69
30-06-2017,6.44
01-07-2017,6.32
02-07-2017,6.09
03-07-2017,6.42
04-07-2017,6.46
05-07-2017,6.55
06-07-2017,6.8
07-07-2017,6.59
08-07-2017,6.79
09-07-2017,6.79
10-07-2017,6.58
11-07-2017,6.56
12-07-2017,6.25
13-07-2017,6.33
14-07-2017,6.72
15-07-2017,6.68
16-07-2017,6.49
17-07-2017,6.84
18-07-2017,6.8
19-07-2017,6.32
20-07-2017,6.7
21-07-2017,6.62
22-07-2017,6.49
23-07-2017,6.38
24-07-2017,6.54
25-07-2017,6.71
26-07-2017,6.75
27-07-2017,6.96
28-07-2017,7.95
29-07-2017,9.82
30-07-2017,8.82
31-07-2017,9.8
01-08-2017,10.66
02-08-2017,10.77
03-08-2017,11.83
04-08-2017,14.21
05-08-2017,17.25
06-08-2017,13.72
07-08-2017,17.42
08-08-2017,18.26
09-08-2017,15.67
10-08-2017,18.71
11-08-2017,18.75
12-08-2017,18.45
13-08-2017,18.45
14-08-2017,18.79
15-08-2017,18.33
16-08-2017,18
17-08-2017,17.17
18-08-2017,19.25
19-08-2017,18.92
20-08-2017,18.34
21-08-2017,18.96
22-08-2017,19.92
23-08-2017,19.63
24-08-2017,19.21
25-08-2017,17.11
26-08-2017,17.11
27-08-2017,17.11
28-08-2017,19.04
29-08-2017,16.92
30-08-2017,17.51
31-08-2017,16.68
01-09-2017,16.59
02-09-2017,14.95
03-09-2017,14.95
04-09-2017,16.21
05-09-2017,15.33
06-09-2017,16.38
07-09-2017,16.33
08-09-2017,14.96
09-09-2017,12.5
10-09-2017,12.5
11-09-2017,14.25
12-09-2017,13.25
13-09-2017,13.91
14-09-2017,13.54
15-09-2017,12.48
16-09-2017,11.96
17-09-2017,10.88
18-09-2017,12.07
19-09-2017,12
20-09-2017,11.79
21-09-2017,12
22-09-2017,12.42
23-09-2017,11.78
24-09-2017,11.78
25-09-2017,13.29
26-09-2017,12.79
27-09-2017,12.58
28-09-2017,12.67
29-09-2017,13.17
30-09-2017,12.55
01-10-2017,12.55
02-10-2017,12.44
03-10-2017,13.08
04-10-2017,13.21
05-10-2017,12.96
06-10-2017,14.04
07-10-2017,15.59
08-10-2017,14.28
09-10-2017,16.49
10-10-2017,17.93
11-10-2017,18.1
12-10-2017,19.56
13-10-2017,18.85
14-10-2017,16.75
15-10-2017,16.09
16-10-2017,18.35
17-10-2017,19.02
18-10-2017,19.15
19-10-2017,17.97
20-10-2017,17.97
21-10-2017,17.42
22-10-2017,17.42
23-10-2017,20.15
24-10-2017,24.88
25-10-2017,24.88
26-10-2017,24.63
27-10-2017,24.22
28-10-2017,22.56
29-10-2017,22.56
30-10-2017,24.04
31-10-2017,24.29
01-11-2017,24.96
02-11-2017,25.19
03-11-2017,25.54
04-11-2017,24.44
05-11-2017,25.22
06-11-2017,27.04
07-11-2017,27.5
08-11-2017,28.17
09-11-2017,27.17
10-11-2017,26
11-11-2017,24.44
12-11-2017,24.44
13-11-2017,24.67
14-11-2017,24.62
15-11-2017,24.5
16-11-2017,24.92
17-11-2017,27.04
18-11-2017,26.88
19-11-2017,24.84
20-11-2017,26.96
21-11-2017,26.96
22-11-2017,28.75
23-11-2017,28.25
24-11-2017,28.83
25-11-2017,27
26-11-2017,27.44
27-11-2017,30.33
28-11-2017,30.42
29-11-2017,32.25
30-11-2017,31.08
01-12-2017,30.33
02-12-2017,30.17
03-12-2017,28.22
04-12-2017,27.46
05-12-2017,26.25
06-12-2017,26.21
07-12-2017,28.46
08-12-2017,26.67
09-12-2017,25.17
10-12-2017,25.17
11-12-2017,28.58
12-12-2017,29.5
13-12-2017,29.17
14-12-2017,29.27
15-12-2017,29.23
16-12-2017,28.15
17-12-2017,24.53
18-12-2017,27.38
19-12-2017,27.21
20-12-2017,26.29
21-12-2017,26.85
22-12-2017,23.48
23-12-2017,22.31
24-12-2017,22.31
25-12-2017,21.64
26-12-2017,32
27-12-2017,24.5
28-12-2017,24.33
29-12-2017,24.08
30-12-2017,24.21
31-12-2017,21.28
01-01-2018,23.38
02-01-2018,23.58
03-01-2018,24.17
04-01-2018,24.17
05-01-2018,24.21
06-01-2018,25.08
07-01-2018,20.78
08-01-2018,24.92
09-01-2018,24.17
10-01-2018,23.67
11-01-2018,23.67
12-01-2018,23.33
13-01-2018,19.78
14-01-2018,20
15-01-2018,22.58
16-01-2018,21.96
17-01-2018,23.21
18-01-2018,23.75
19-01-2018,24.21
20-01-2018,24.38
21-01-2018,23
22-01-2018,24.17
23-01-2018,23.92
24-01-2018,23.54
25-01-2018,23.66
26-01-2018,22.28
27-01-2018,21.83
28-01-2018,21.11
29-01-2018,22.67
30-01-2018,20.33
31-01-2018,20.33
01-02-2018,19.08
02-02-2018,18.25
03-02-2018,16.17
04-02-2018,15.44
05-02-2018,15.67
06-02-2018,17.38
07-02-2018,18.79
08-02-2018,17.75
09-02-2018,16.75
10-02-2018,16.83
11-02-2018,16.83
12-02-2018,17.29
13-02-2018,16.78
14-02-2018,17.25
15-02-2018,16.75
16-02-2018,16.71
17-02-2018,16.71
18-02-2018,16.11
19-02-2018,16.33
20-02-2018,16.54
21-02-2018,15.88
22-02-2018,15.71
23-02-2018,14.71
24-02-2018,14.67
25-02-2018,14.17
26-02-2018,14.58
27-02-2018,13.63
28-02-2018,12.21
01-03-2018,12.08
02-03-2018,12.11
03-03-2018,12.08
05-03-2018,12.17
06-03-2018,11.71
